Collection_code	Catalog_number	Field_number	Voucher_number	Bioinformatics_ID	new_species	country	state	Latitude	Longitude	Pooled assembly	Assemblies
TNHC-GDC 139	TNHC:Herpetology:139	JAC 8628	KU 195192	T139_Rspe_CMX	NA	México	Hidalgo	20.163104	-98.755562	Yes	ATL_MXPL
TNHC-GDC 140	TNHC:Herpetology:140	JAC 8629	KU 195193	T140_Rspe_CMX	NA	México	Hidalgo	20.163104	-98.755562	Yes	ATL_MXPL
TNHC-GDC 141	TNHC:Herpetology:141	JAC 8630	KU 195194	T141_Rspe_CMX	NA	México	Hidalgo	20.163104	-98.755562	Yes	ATL_MXPL
TNHC-GDC 14178	TNHC:Herpetology:14178	JAC 7207	KU 195349	T14178_Rber_CMX	R. berlandieri	México	San Luis Potosí	21.844	-99.956	Yes	ATL_MXPL
TNHC-GDC 14179	TNHC:Herpetology:14179	JAC 7165	KU 195165	T14179_Rber_CMX	R. berlandieri	México	Nuevo Leon	25.73043	-100.304888	No	ATL_MXPL
TNHC-GDC 14182	TNHC:Herpetology:14182	JAC 9227	KU 195326	T14182_PAC	R. macroglossa	México	Oaxaca	16.607234	-94.197402	Yes	PACMX
TNHC-GDC 14192	TNHC:Herpetology:14192	JAC 7479	KU 195184	T14192_papa_PAC	R. forreri	México	Guerrero	17.158608	-99.590452	Yes	forreri, PACMX
TNHC-GDC 14193	TNHC:Herpetology:14193	JAC 7678	KU 195256	T14193_Rber_CMX	R. berlandieri	México	Oaxaca	17.804248	-96.345109	No	ATL_MXPL
TNHC-GDC 14194	TNHC:Herpetology:14194	JAC 8657	KU 195334	T14194_CMX	R. berlandieri	México	Puebla	20.190511	-98.042111	Yes	ATL_MXPL
TNHC-GDC 14197	TNHC:Herpetology:14197	JAC 8601	KU 195331	T14197_Rspe_CMX	NA	México	Hidalgo	20.163104	-98.755562	Yes	ATL_MXPL
TNHC-GDC 14198	TNHC:Herpetology:14198	JAC 7472	KU 195182	T14198_PAC	R. omiltemana	México	Guerrero	17.297674	-100.283208	Yes	PACMX
TNHC-GDC 14199	TNHC:Herpetology:14199	JAC 9337	KU 195257	T14199_PAC	R. forreri	México	Oaxaca	16.374811	-94.206688	Yes	forreri, PACMX
TNHC-GDC 14203	TNHC:Herpetology:14203	JAC 7412	KU 195178	T14203_Romi_CMX	R. omiltemana	México	Guerrero	17.330737	-99.470147	Yes	PACMX
TNHC-GDC 14204	TNHC:Herpetology:14204	JAC 9367	KU 195173	T14204_PAC	R. macroglossa	México	Chiapas	16.16675	-92.100597	Yes	ATL_MXPL, PACMX
TNHC-GDC 14224	TNHC:Herpetology:14224	JAC 7933	KU 195138	T14224_PAC	R. macroglossa	México	Chiapas	16.680533	-92.59599	Yes	ATL_MXPL, PACMX
TNHC-GDC 14236	TNHC:Herpetology:14236	JAC 7413	KU 195179	T14236_Romi_CMX	R. omiltemana	México	Guerrero	17.33074	-99.47015	Yes	PACMX
TNHC-GDC 14298	TNHC:Herpetology:14298	JSF 1085	KU 194423	T14298_Ryav_OUT	NA	USA	Arizona	33.283994	-109.267429	Yes	PACMX
TNHC-GDC 14316	TNHC:Herpetology:14316	JSF 1107	N/A	T14316_Rpip_OUT	R. pipiens	USA	Vermont	NA	NA	Yes	NA
TNHC-GDC 14318	TNHC:Herpetology:14318	JSF 1111	KU 204370	T14318_Rare_OUT	R. areolata	USA	Kansas	NA	NA	Yes	NA
TNHC-GDC 14429	TNHC:Herpetology:14429	JSF 1031	KU 194485	T14429_Aten_PAC	NA	México	Jalisco	19.527987	-103.44055	No	PACMX
TNHC-GDC 14438	TNHC:Herpetology:14438	JSF 1084	N/A	T14438_OUT	NA	USA	Arizona	32.3449	-110.54034	Yes	PACMX
TNHC-GDC 14440	TNHC:Herpetology:14440	JSF 1061	KU 194585	T14440_Rmag_CMX	R. magnaocularis	México	Sinaloa	23.462458	-105.830558	No	PACMX
TNHC-GDC 147	TNHC:Herpetology:147	JAC 8838	KU 195253	T147_Rmon_RJO	R. montezumae	México	Morelos	NA	NA	Yes	NA
TNHC-GDC 149	TNHC:Herpetology:149	JAC 8839	KU 195254	T149_Rmon_RJO	R. montezumae	México	Morelos	NA	NA	Yes	NA
TNHC-GDC 15	TNHC:Herpetology:15	JAC 7473	KU 195183	T15_PAC	NA	México	Guerrero	17.297674	-100.283208	No	PACMX
TNHC-GDC 1952	TNHC:Herpetology:1952	JSF 955	KU 194559	T1952_Rspe_CMX	NA	México	Michoacán	19.445548	-100.263328	Yes	ATL_MXPL
TNHC-GDC 1957	TNHC:Herpetology:1957	JSF 910	KU 194455	T1957_papa_PAC	R. omiltemana	México	Guerrero	17.158608	-99.590452	Yes	PACMX
TNHC-GDC 1958	TNHC:Herpetology:1958	JSF 912	KU 194457	T1958_papa_PAC	R. omiltemana	México	Guerrero	17.158608	-99.590452	Yes	PACMX
TNHC-GDC 1959	TNHC:Herpetology:1959	JSF 913	KU 194458	T1959_papa_PAC	R. omiltemana	México	Guerrero	17.158608	-99.590452	Yes	PACMX
TNHC-GDC 1960	TNHC:Herpetology:1960	JSF 914	KU 194459	T1960_papa_PAC	R. omiltemana	México	Guerrero	17.158608	-99.590452	Yes	PACMX
TNHC-GDC 1961	TNHC:Herpetology:1961	JSF 915	KU 194460	T1961_papa_PAC	R. omiltemana	México	Guerrero	17.158608	-99.590452	Yes	PACMX
