Bioinformatics_ID	pooled_dataset
V2696_Rfor_PAC	max_80p
V2691_Rfor_PAC	max_80p
V2695_Rfor_PAC	min_10K
V1311_PAC	min_10K
V1312_PAC	max_80p
V2594_Rfor_PAC	max_80p
V2595_Rfor_PAC	max_80p
JHT2308_LCA	min_10K
JHT2309_LCA	min_10K
JHT2310_LCA	max_80p
JHT2314_LCA	min_10K
JHT2327_LCA	min_10K
JHT2328_LCA	min_10K
JHT4090_LCA	max_80p
JHT4091_LCA	min_10K
JHT4094_LCA	max_80p
JHT4095_LCA	min_10K
JHT4096_LCA	min_10K
JHT4098_LCA	max_80p
JHT4099_LCA	max_80p
JHT4100_LCA	min_10K
JHT4102_LCA	max_80p
JHT4103_LCA	min_10K
JHT4113_LCA	min_10K
JHT4114_LCA	min_10K
JHT4115_LCA	max_80p
JHT4124_LCA	min_10K
JHT4125_LCA	min_1000
JHT2261_LCA	max_80p
JHT2138_LCA	max_80p
JHT2139_LCA	min_500
JHT2140_LCA	max_80p
JHT2141_LCA	min_10K
JHT2142_LCA	max_80p
JHT2143_LCA	max_80p
JHT2144_LCA	max_80p
JHT2145_LCA	max_80p
JHT2153_LCA	max_80p
JHT2883_LCA	max_80p
JHT2772_LCA	max_80p
KEN589_LCA	min_1000
KEN590_LCA	min_10K
KEN591_LCA	min_10K
KEN592_LCA	min_10K
T24735_LCA	max_80p
T24737_LCA	max_80p
T24740_LCA	max_80p
T24741_LCA	max_80p
T24745_LCA	max_80p
T24746_LCA	max_80p
T2757_LCA	remove
T3039_LCA	max_80p
T3040_LCA	max_80p
T3041_LCA	max_80p
T3042_LCA	min_10K
T3043_LCA	max_80p
T3549_LCA	max_80p
T3552_LCA	max_80p
T3553_LCA	remove
T3554_LCA	min_10K
T3561_LCA	min_10K
T3562_LCA	max_80p
T3568_LCA	min_10K
T3572_LCA	min_10K
T3585_LCA	remove
T3586_LCA	min_10K
T3591_LCA	min_10K
T3592_LCA	remove
T3594_LCA	remove
T3595_LCA	remove
T3601_LCA	max_80p
T3651_LCA	min_10K
T3652_LCA	max_80p
T3653_LCA	min_10K
T3654_LCA	min_10K
T3655_LCA	max_80p
T3656_LCA	max_80p
T3657_LCA	max_80p
T3658_LCA	min_10K
AH199_LCA	max_80p
V2747_PAC	max_80p
V2749_PAC	max_80p
V2797_PAC	max_80p
V2921_PAC	max_80p
MVZ145471_LCA	min_10K
MVZ145484_LCA	min_1000
MVZ150254_LCA	min_10K
MVZ203928_LCA	max_80p
AH197_LCA	min_1000
AH198_LCA	min_10K
T3649_LCA	min_10K
T3555_LCA	min_10K
T3565_LCA	max_80p
T3571_LCA	min_10K
T3593_LCA	min_1000
T3600_LCA	min_10K
T3544_LCA	max_80p
T3545_LCA	max_80p
T3548_LCA	remove
T3557_LCA	max_80p
T3576_LCA	max_80p
T3577_LCA	max_80p
T3588_LCA	max_80p
T3703_LCA	max_80p
T3715_LCA	max_80p
T3743_LCA	max_80p
T3762_LCA	min_10K
T3678_CMX	min_10K
T3681_CMX	min_1000
T3776_CMX	max_80p
T1962_PAC	remove
T1963_arcelia_PAC	max_80p
T1964_arcelia_PAC	max_80p
T3430_PAC	max_80p
T4029_bals_PAC	max_80p
T3437_PAC	max_80p
V7_PAC	max_80p
V8_PAC	max_80p
V2794_PAC	max_80p
V2798_PAC	max_80p
V2799_PAC	max_80p
V2800_PAC	max_80p
V3072_PAC	max_80p
V2833_PAC	max_80p
V2781_PAC	min_10K
V2782_PAC	remove
V2783_PAC	min_10K
V2784_PAC	min_10K
V2785_PAC	min_10K
V2786_PAC	min_1000
V2787_PAC	min_10K
V2788_PAC	min_10K
V2789_PAC	min_10K
V2795_PAC	max_80p
V2764_PAC	min_10K
V2778_PAC	max_80p
V2779_PAC	max_80p
V2780_PAC	max_80p
V2761_PAC	min_10K
V2762_PAC	min_1000
V2763_PAC	max_80p
V2750_PAC	min_10K
V2751_PAC	min_1000
V2752_PAC	min_10K
V2790_PAC	max_80p
V2791_PAC	max_80p
V2792_PAC	max_80p
V2793_PAC	max_80p
V2796_PAC	max_80p
V2906_PAC	min_10K
V2830_PAC	min_500
V2832_PAC	min_10K
V2611_pap_PAC	remove
V2612_pap_PAC	min_500
V2613_pap_PAC	remove
V2617_pap_PAC	remove
V2618_pap_PAC	remove
V2620_pap_PAC	remove
V2621_pap_PAC	remove
V11_PAC	max_80p
V12_PAC	min_10K
V13_PAC	max_80p
V14_PAC	max_80p
V15_PAC	min_10K
V16_PAC	max_80p
V1_PAC	min_10K
V3_PAC	max_80p
V4_PAC	max_80p
V5_PAC	min_10K
V6_PAC	max_80p
V2_PAC	max_80p
V2831_PAC	max_80p
V3074_PAC	max_80p
V3076_PAC	min_10K
V3077_PAC	min_10K
V3078_PAC	max_80p
V3079_PAC	max_80p
V3080_PAC	max_80p
V3081_PAC	max_80p
V3082_PAC	min_10K
T14182_PAC	max_80p
T14198_PAC	min_10K
T15_PAC	min_1000
T24978_PAC	min_1000
T3425_Rneo_CMX	max_80p
T3605_Llano_PAC	remove
T3611_PAC	max_80p
T3616_PAC	min_10K
T3618_PAC	max_80p
T3624_PAC	min_1000
T3629_PAC	max_80p
T3661_PAC	max_80p
T3662_PAC	remove
T3670_PAC	max_80p
T3676_PAC	remove
T3778_PAC	max_80p
T3782_PAC	min_10K
V2717_PAC	max_80p
V2718_PAC	max_80p
V2719_PAC	max_80p
V2720_PAC	max_80p
V2721_PAC	max_80p
V2722_PAC	max_80p
V2723_PAC	max_80p
V2724_PAC	max_80p
V2725_PAC	max_80p
V2726_PAC	max_80p
V2727_PAC	min_10K
V2728_PAC	max_80p
V2729_PAC	max_80p
V2730_PAC	max_80p
V10_PAC	min_500
V9_PAC	min_1000
